タイトル名,評価,視聴数,制作会社,声優,主題歌・挿入歌,あらすじ
スキップとローファー（2023年製作のアニメ）,4.2,15755,P.A.WORKS,"['黒沢ともよ', '江越彬紀', '寺崎裕香', '内田真礼', '潘めぐみ', '斎賀みつき', '田中光']","['須田景凪', '逢田梨香子']",いつのまにかハッピーなスクールライフ・コメディ！
ジョジョの奇妙な冒険 ダイヤモンドは砕けない（2016年製作のアニメ）,4.3,15887,デイヴィッドプロダクション,"['小野友樹', '梶裕貴', '高木渉', '櫻井孝宏', '森川智之', '能登麻美子', '原紗友里']","['THE DU', 'サヴェージ・ガーデン']",エジプトでの宿敵DIOとの死闘から11年後。1999年、空条承太郎は祖父ジョセフ・ジョースターの隠し子、東方仗助に会うため、日本のM県S市、杜王町にやってきた…
かぐや様は告らせたい～天才たちの恋愛頭脳戦～（2019年製作のアニメ）,4.1,15192,A-1 Pictures,"['青山穣', '古川慎', '小原好美', '鈴木崚汰', '花守ゆみり', '麻倉もも', '八代拓']","['古賀葵', '伊原六花', 'halca']",恋愛は告白した（好きになった）ほうが負けなのである。
ワールドトリガー（2014年製作のアニメ）,4.0,7734,東映アニメーション,"['村中知', '梶裕貴', '田村奈央', '中村悠一', '田中秀幸', '藤原啓治', '中尾衣里']","['AAA', 'Sonar Pocket']",三門市。ある日この町に異世界への門が開いた。「近界民(ネイバー)」後にそう呼ばれる異次元からの侵略者が門付近の地域を蹂躙、街は恐怖に包まれた。近界民に地球上の兵器は効果が薄く、都市の壊滅は時間の問題と思われた。しかし、その時突如現れた謎の一団が近界民を撃退した。「こちら側」の世界を守るため戦う組織、界境防衛機関「ボーダー」だ。彼らはわずかな期間で巨大な基地を作り上げ、近界民に対する防衛体制を整え…
DEATH NOTE（2006年製作のアニメ）,4.3,10993,マッドハウス,"['宮野真守', '山口勝平', '日髙のり子', '佐々木望', '平野綾', '松風雅也', '岡村麻純']","['ナイトメア', 'マキシマム ザ ホルモン']","コミックスの累計発行部数が3,000万部を超える大ヒット作品が原作のTVアニメ。｢そのノートに名前を書かれた人間は死ぬ｣という恐るべき力を持つ、死神が落とした「デスノート」。それを天才的な頭脳を持つ高校生・夜神月（ヤガミライト）が拾う。デスノートを使って犯罪者たちに死の制裁を下していく月は、いつしか「キラ」と呼ばれるようになる。果たして月＝キラは、世界を救う救世主となれるのか……。"
DEATH NOTE（2006年製作のアニメ）,4.3,10993,マッドハウス,"['能登麻美子', '浪川大輔', '沢城みゆき', '三瓶由布子', '中村悠一', '平野綾', '宮野真守']",['Chara'],"コミックスの累計発行部数が3,000万部を超える大ヒット作品が原作のTVアニメ。｢そのノートに名前を書かれた人間は死ぬ｣という恐るべき力を持つ、死神が落とした「デスノート」。それを天才的な頭脳を持つ高校生・夜神月（ヤガミライト）が拾う。デスノートを使って犯罪者たちに死の制裁を下していく月は、いつしか「キラ」と呼ばれるようになる。果たして月＝キラは、世界を救う救世主となれるのか……。"
2.5次元の誘惑（2024年製作のアニメ）,3.6,969,J.C.STAFF,"['榎木淳弥', '前田佳織里', '鬼頭明里', '山根綺', '貫井柚佳', '杉田智和', '市道真央（M・A・O）']","['めいちゃん', 'そらる', '前田佳織里', '鬼頭明里', '鈴代紗弓', '渡部紗弓']",わたしは放課後、生まれ変わる。
BLEACH 千年血戦篇-相剋譚-（2024年製作のアニメ）,4.4,641,PIERROT FILMS,"['森田成一', '折笠富美子', '伊藤健太郎', '大塚明夫', '小野坂昌也', '置鮎龍太郎', '稲田徹']","['SIX LOUNGE', '水槽']",三界の存亡を賭けた戦いに、流れるのは血か涙か――
ジョジョの奇妙な冒険 黄金の風（2018年製作のアニメ）,4.4,16035,デイヴィッドプロダクション,"['小野賢章', '中村悠一', '諏訪部順一', '鳥海浩輔', '山下大輝', '榎木淳弥', '千本木彩花']","['Coda', 'Jodeci']",「覚悟はいいか―。」
ソードアート・オンライン（2012年製作のアニメ）,4.0,15313,A-1 Pictures,"['松岡禎丞', '戸松遥', '伊藤かな恵', '日高里菜', '竹達彩奈', '沢城みゆき', '悠木碧']","['LiSA', '藍井エイル', '春奈るな']",フルダイブシステムを利用したオンラインゲーム《ソードアート・オンライン》がスタートする。しかし開発者によって「ゲームオーバー＝リアルでの死」の残酷なデスゲームに変えられてしまう。主人公キリトはゲームをクリアし世界を解放することができるのか。
僕の心のヤバイやつ 第1期（2023年製作のアニメ）,4.1,5281,シンエイ動画,"['堀江瞬', '羊宮妃那', '朝井彩加', '潘めぐみ', '種﨑敦美', '岡本信彦', '佐藤元']","['ヨルシカ', 'こはならむ']",僕はまだ 恋を知らない
ピンポン THE ANIMATION（2014年製作のアニメ）,4.5,7334,タツノコプロ,"['片山福十郎', '内山昂輝', '咲野俊介', '木村昴', '文曄星', '野沢雅子', '屋良有作']","['爆弾ジョニー', 'メレンゲ']",ピンチの時にはヒーローが必ず現れる―。片瀬高校卓球部の自由奔放で自信家のペコ（星野裕）。クールで笑わないスマイル（月本誠）。辻堂学院の留学生、チャイナ（孔文革）。常勝・海王学園の主将ドラゴン（風間竜一）。海王に通うペコとスマイルの幼馴染、アクマ（佐久間学）。各人の思いをよそに、インターハイ予選は近づく。274cmを飛び交う140km/hの白球。その行方が、頂点を目指す少年たちの青春を切り裂く。
暗殺教室（2015年製作のアニメ）,4.1,9230,Lerche,"['福山潤', '杉田智和', '伊藤静', '速水奨', '岡本信彦', '逢坂良太', '内藤玲']",['森田和明'],椚ヶ丘中学校の落ちこぼれクラス「エンドのE組」に、タコ型の謎の生物がやってきた。人知を超えた能力を持つその怪物は、来年3月までに自分を殺せなければ地球を爆破すると宣言。生徒たちは成功報酬と引き換えに、担任となった「殺せんせー」の暗殺に挑む。
僕の心のヤバイやつ 第2期（2024年製作のアニメ）,4.4,3080,シンエイ動画,"['堀江瞬', '羊宮妃那', '朝井彩加', '潘めぐみ', '種﨑敦美', '岡本信彦', '佐藤元']","['あたらよ', 'こはならむ']",君の好きになりたい
鴨乃橋ロンの禁断推理 1st Season（2023年製作のアニメ）,3.6,3486,diomedea,"['阿座上洋平', '榎木淳弥', '日笠陽子', '八代拓', '福山潤', '東山奈央', '松岡禎丞']","['UNISON SQUARE GARDEN', 'hockrockb']",難解な謎に挑むは、異端すぎる「名探偵」。
ハズレ枠の【状態異常スキル】で最強になった俺がすべてを蹂躙するまで（2024年製作のアニメ）,3.1,939,Seven Arcs,"['鈴木崚汰', '宮下早紀', '津久井彩文', '上田瞳', '和多田美咲', '小清水亜美', '汐入あすか']","['超学生', 'Hakubi']",復讐心を解き放て
GREAT PRETENDER（2020年製作のアニメ）,4.1,8786,WIT STUDIO,"['小林千晃', '諏訪部順一', '藤原夏海', '園崎未恵']",['貞本義行'],ターゲットは悪人のみ！騙して騙して騙しまくる！？ロサンゼルス、シンガポール、ロンドン、上海、そして東京・・・世界を股にかけた壮大なコン・ゲーム、ここに開幕
